product_id,brand,category,model_name,color,material,list_price,standard_cost,is_active
PROD136,SummitRide,Mountain Bike,Apex-284,Red,CARBON,887.55,622.70,Y
PROD137,UrbanWheel,Mountain Bike,Ridge-773,Gray,Aluminum,1293.30,642.54,Y
PROD138,SummitRide,Road Bike,Glide-529,Red,Aluminum,1461.50,733.59,Y
PROD139,TrailBlaze,Road Bike,Terra-872,Red,Aluminum,1983.96,1334.03,N
PROD140,VeloCraft, Water Bottle,Hydro-44,red,BPA-Free Plastic,703.94,435.79,N
PROD141,PeakMotion,Road Bike,Ridge-783,White,Carbon,999.39,522.45,Y
PROD142,urbanwheel,Mountain Bike,Terra-885,Red,Carbon,454.68,242.95,Y
PROD143,VeloCraft,Mountain Bike,Terra-232,White,Carbon,1227.82,837.63,Y
PROD144,VeloCraft,Road Bike,Glide-119,Red,Aluminum,1480.94,704.48,N
PROD145,VeloCraft,Water Bottle,Core-61,White,BPA-FREE PLASTIC,84.37,47.01,No
PROD146,TrailBlaze,Gloves,Core-41,Black,Synthetic,1404.32,817.52,N
PROD147,PeakMotion,Bike Light,Lumen-31,White,Plastic,261.04,172.02,Y
PROD148,PeakMotion,Gloves,Flex-23,white,Synthetic,483.99,249.30,Y
PROD149,urbanwheel,Road Bike,Glide-872,Gray,Carbon,1811.81,1161.78,Y
PROD150,UrbanWheel, Gloves,Core-70,Red,Synthetic,1425.11,783.71,Y
PROD151,SummitRide,Gloves,Lumen-69,Red,Synthetic,1455.99,682.53,Y
PROD152,SummitRide,Road Bike,Glide-694,Black,Carbon,1781.83,1267.42,N
PROD153,PeakMotion,Helmet,AirFlow-29,Red,Polycarbonate,3065.47,1835.21,Y
PROD154,TrailBlaze,Hybrid Bike,Pulse-548,White,ALUMINUM,3171.32,1975.55,Y
PROD155,PeakMotion,Gloves,Hydro-62,Black,Synthetic,2482.35,1673.19,Y
PROD156,peakmotion,Road Bike,Ridge-794,gray,Aluminum,1248.05,665.41,Y
PROD157,TrailBlaze,Gloves,Lumen-49,Green,Synthetic,3097.21,2107.65,Y
PROD158,PeakMotion,Road Bike,Pulse-910,Gray,Carbon,1063.21,523.28,Y
PROD159,SummitRide,Water Bottle,Core-56,Red,BPA-Free Plastic,1000.81,764.50,N
PROD160,UrbanWheel, Helmet,Flex-19,White,Polycarbonate,959.21,681.12,Yes
